geoid,dist_id,district,maep_expected_local_addon_total,maep_expected_local_addon_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_fy24_addon_total,maep_full_addon_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,maep_rev_full_funding_fy24,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,teacher_add_fy24,ada_add_fy24,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp
2801560,2000,GEORGE COUNTY,30804624.96,7396.068417767107,22454696,5361842.08,5361842.08,6869551.3776,4165,8.701916152125772,22230598,5337.478511404562,5391.283553421368,25442782.88,6108.7113757503,123,314,334,328,303,299,292,318,334,312,297,255,273,254,0.2409,1368,55,54,0,72,13,12,32,125,5,99,5,278,5,5,697,191494360,25035457,9944452.61,GEORGE COUN,478.63021513744894,0.201,14084643.9,3607.17978,475,215,15,2055456.02,932630.86,1003.3485000000001,837.1650000000001,191494.36,45.977037214885954,20080940.799999997,4821.354333733492,18573231.5024,4459.359304297719,32399148,7778,9944452,2387,Rural,110800,47292,2616531,1193583.48423916,534023,1287.3570420168066
2801590,2100,GREENE COUNTY,13683034.6227,8343.313794329268,9435654,2908991.6127,3571711.892,2908991.6127,1640,2.3013007668174144,9199826,5609.65,5753.44756097561,10774043.01,6569.538420731707,0,149,149,134,106,124,147,121,129,131,157,103,83,90,0.2595,763,5,22,0,15,5,5,5,59,5,30,0,77,5,0,230,127561139,10520112,6635647.57,GREENE COUN,712.6404438947105,0.23399999999999999,6685145.14,1503.28556,151,67,10,956220.73,382168.28,425.58000000000004,383.76,127561.139,77.78118231707317,7202331.118,4391.665315853658,7865051.397299999,4795.763047134146,16071301,9799,6635647,4046,Rural,77700,49677,1159160,484975.38268264,433484,1773.775373597561
2801620,7620,GREENVILLE,27385928.68,7731.769813664596,19253569,5402506.760000001,5402506.760000001,5935523.9184,3542,94.38547615181574,18699214,5279.281197063806,5435.790231507623,21983421.919999998,6206.49969508752,110,250,289,315,303,271,287,261,285,247,294,198,198,163,0.6286,984,13,17,0,59,5,5,32,68,5,14,5,168,5,5,388,192946670,21466419,11675470.27,GREENVILLE,37.52696012575936,0.42700000000000005,16480297.61,3148.30556,295,78,15,1936298.59,793554.33,2226.5012,1512.4340000000002,192946.67,54.473932806324115,16580915.159999996,4681.229576510445,16047898.001599997,4530.74477741389,30929039,8732,11675470,3296,Town,73000,26150,1973598,1072265.7975342,421923,1525.2701185770752
2800198,4211,GREENWOOD-LEFLORE CONS,30011109.091199998,7446.9253328039695,20604122,6380314.5312,8108869.272,6380314.5312,4030,6.784593962589694,20329784,5044.6114143920595,5112.685359801489,23630794.56,5863.720734491315,106,291,355,301,330,215,324,316,212,265,359,335,290,272,0.5879,1232,127,48,0,42,14,5,38,143,5,61,5,132,5,5,495,289602474,22972193,12187376.13,GREENWOOD-L,593.9928052027067,0.473,16341008.19,3518.66111,317,171,15,2114143.52,912529.04,2369.237,1906.1899999999998,289602.474,71.86165607940447,15521925.287999999,3851.59436426799,17250480.0288,4280.5161361786595,32791498,8136,12187376,3024,NA,NA,NA,2360351,1162888.8850842,371679,1583.2045983126552
2801680,2220,GRENADA,30455601.661700003,7881.884488017599,21165254,6474812.951700001,6652979.312,6474812.951700001,3864,9.15500837734796,22643366,5860.084368530021,5477.550207039338,23980788.71,6206.208258281574,152,346,334,279,271,252,266,250,281,288,280,258,245,253,0.2991,1144,5,156,0,72,21,5,39,89,23,184,5,75,5,5,675,237606404,23597817,9572418.34,GRENADA,422.0640594453864,0.344,15370924.91,3285.71111,236,410,33,1956298.86,859235.85,1155.7223999999999,1329.216,237606.404,61.492340579710145,17327809.398000002,4484.42272204969,17505975.7583,4530.532028545548,30737672,7954,9572418,2477,Town,105000,40122,3357478,1112608.06346152,380913,1675.676229736025
2801710,2421,GULFPORT,46781838.0211,7652.844433355144,32341303,9945745.0911,12165904.828000002,9945745.0911,6113,271.24536213882203,32914005,5384.263863896614,5290.577948634059,36836092.93,6025.8617585473585,81,484,523,498,449,482,456,466,460,485,549,416,360,401,0.4456,1636,320,122,0,112,73,5,37,149,17,150,5,316,5,5,992,434496601,36058351,31515294.04,GULFPORT,22.53679086638686,0.32799999999999996,22103133.67,5786.39444,577,392,27,3099817.25,1394972.68,2723.9528,2005.0639999999999,434496.601,71.07747439882219,24670188.101999998,4035.692475380337,26890347.8389,4398.879083739572,63856597,10446,31515294,5155,City,135900,36464,4718089,1856002.90003748,560025,1626.9826748077867
2801740,2300,HANCOCK COUNTY,32345976.8116,7966.989362463054,22277593,6876703.7316,12012236.936,6876703.7316,4060,10.288330364717133,22007459,5420.556403940886,5487.091871921182,25469273.08,6273.21997044335,5,296,342,338,316,302,289,295,319,344,337,314,293,241,0.2348,1309,0,91,0,75,44,5,29,150,12,67,5,257,0,5,736,429008462,24838000,19348284.81,HANCOCK COU,394.62185369974026,0.21100000000000002,10670942.95,3713.07263,482,241,17,2259750.45,931929.63,953.288,856.6600000000001,429008.462,105.66710886699508,13457036.143999998,3314.540922167487,18592569.348399997,4579.450578423644,41625877,10252,19348284,4765,Rural,135900,53182,3003329,1208492.21282504,628698,1693.7693920197044
2801770,2400,HARRISON COUNTY,107669935.6884,7500.517985956113,74260959,22890458.768400002,30333828.196,22890458.768400002,14355,31.394760263462175,73342961,5109.227516544758,5173.177220480668,84779476.92,5905.919673981191,0,1047,1232,1180,1070,1093,1091,1141,1155,1253,1296,1087,832,784,0.3484,3413,624,256,5,294,104,24,77,579,40,486,22,332,5,5,2228,1083351007,82795914,56565734.38,HARRISON CO,457.24190532222747,0.226,30180940.03,13107.5533,1205,969,55,7221819.76,3296698.16,5001.282,3244.23,1083351.007,75.46854803204458,54445648.72400001,3792.8003290839433,61889018.1516,4311.32136200627,130826693,9113,56565734,3940,Rural,147400,51499,9073970,4185580.12706168,966721,1594.598311974922
2801800,1820,HATTIESBURG,27489704.977300003,7496.510765557678,18737319,5844267.987300001,10077916.015999999,5844267.987300001,3667,151.6861202731426,18204749,4964.4802290700845,5109.713389691846,21645436.990000002,5902.76438232888,96,357,347,305,275,269,209,275,237,269,259,256,235,182,0.5398,1463,202,65,0,62,14,5,37,110,19,92,5,79,5,5,483,359925572,20890835,23641465.01,HATTIESBURG,24.174921168771405,0.33899999999999997,16408732.55,3235.37222,251,218,29,2079969.83,828148.16,1979.4465999999998,1243.1129999999998,359925.572,98.15259667302972,11567520.974000003,3154.491675484048,15801169.002700001,4309.017999100082,42378784,11556,23641465,6447,City,106900,33639,2403680,1061450.09985564,680291,1593.7463832287976
2801830,1520,HAZLEHURST,9936216.2337,7263.315960307017,6786948,2112423.9237,3159608.676,2112423.9237,1368,4.141842971712477,6715514,4909.001461988304,4961.2192982456145,7823792.3100000005,5719.146425438596,39,101,98,89,125,83,97,123,66,131,105,116,90,84,0.5122,524,137,5,0,5,5,5,14,5,5,24,5,37,5,0,107,112843167,7566985,5442692.68,HAZLEHURST,330.28775097052744,0.317,4178602.9,1174.90906,47,58,10,726902.32,309941.99,700.6895999999999,433.656,112843.167,82.4876951754386,4664183.634000001,3409.490960526316,5711368.3863,4174.976890570176,12229640,8939,5442692,3978,Town,89900,37137,661335,413062.27066,132461,1544.1695348684211
2801860,2500,HINDS COUNTY,37658659.2012,7580.245410869566,25730985,8006171.641200001,12272488.311999999,8006171.641200001,4968,7.8649570458118365,25479863,5128.796900161031,5179.344806763285,29652487.560000002,5968.697173913044,86,329,320,326,362,309,380,399,367,391,452,434,352,399,0.3017,1212,74,50,0,56,19,5,42,112,16,101,5,225,5,0,631,438303154,28688297,28401203.2,HINDS COUNT,631.6626996259956,0.204,10854508.62,4539.08777,393,222,21,2780140.03,1141362.53,1498.8456,1013.472,438303.154,88.22527254428341,17379999.248000003,3498.3895426731087,21646315.9188,4357.1489369565215,54132188,10896,28401203,5716,Rural,149700,60334,2923802,1502575.543721,0,1611.548236956522
2801890,7611,HOLLANDALE,4672290.464,8526.077489051095,3280251,940682.064,940682.064,1007534.268,548,2.8730051809394253,3244025,5919.753649635037,5985.859489051095,3731608.4,6809.504379562044,40,33,29,32,45,49,36,30,46,47,47,35,37,32,0.7313,20,0,5,0,5,5,0,5,23,0,11,0,23,0,5,83,33595788,3657256,1852461.6,HOLLANDALE,190.74104134431565,0.366,4336243.53,486.931409,51,26,5,327941.59,123415.81,400.75239999999997,200.56799999999998,33595.788,61.306182481751826,2790926.336,5092.931270072993,2724074.1319999998,4970.9381970802915,5132712,9366,1852461,3380,Rural,67300,32604,335956,153181.21180896,0,1716.5731094890511
2801950,4720,HOLLY SPRINGS,8240422.749500001,8039.436828780488,5614588,1751900.8995000003,2606961.5039999997,1751900.8995000003,1025,5.711054768038826,5870114,5726.940487804878,5477.646829268293,6488521.850000001,6330.2652195121955,17,75,87,90,88,68,73,85,63,71,96,86,72,43,0.43,342,22,15,0,23,5,5,5,65,5,25,0,40,0,5,191,93105768,6259883,5233731.99,HOLLY SPRIN,179.47647879972698,0.32899999999999996,4063947.91,930.405556,128,55,10,637854.36,236079.49,440.75,337.22499999999997,93105.768,90.83489560975609,3881560.346000001,3786.888142439025,4736620.9505,4621.093610243903,10848319,10583,5233731,5106,Town,88900,36744,977384,314546.69534688,162627,1709.171609268293
2800195,2611,HOLMES CONSOL,19221156.456,7555.486028301887,13771855,3548827.856,3548827.856,4231528.722,2544,3.362543650442076,13537544,5321.361635220126,5413.465015723271,15672328.6,6160.506525157232,101,188,176,170,203,134,161,223,174,202,213,220,188,182,0.5658,878,5,5,0,29,32,5,24,90,5,32,0,91,0,5,312,126743852,15354681,6609648.9,HOLMES CONS,756.5701042023762,0.433,20286509.1,2157.23261,210,98,10,1331077.92,569395.68,1439.3952,1101.552,126743.852,49.820696540880505,12123500.743999999,4765.5270220125785,11440799.877999999,4497.169763364779,20381503,8011,6609648,2598,Rural,60400,21504,1299812,731409.31790552,344157,1394.9795031446542
2802040,2700,HUMPHREYS COUNTY,10507300.677,8705.30296354598,7387242,2233835.577,2416598.5760000004,2233835.577,1207,2.883267672983574,7296613,6045.246893123446,6120.333057166528,8273465.1,6854.569262634631,0,78,63,66,105,56,79,108,106,114,121,123,95,68,0.6359,641,0,5,0,5,5,5,21,67,5,22,0,62,5,5,210,86307092,8236272,3266347.3,HUMPHREYS C,418.6222497861288,0.433,4763728.07,1194.56182,134,58,15,608771.26,277451.84,767.5313,522.631,86307.092,71.50546147473074,5856866.523999999,4852.41634134217,6039629.523,5003.835561723281,10653589,8826,3266347,2706,Town,69100,28962,906418,367458.94291916,234793,1850.7337009113505
2802100,2900,ITAWAMBA COUNTY,27709042.688,8210.08672237037,20321707,4626134.5479999995,4626134.5479999995,6232385.1978,3375,6.33538802246196,19941628,5908.630518518518,6021.246518518518,23082908.14,6839.38018962963,0,283,271,256,248,258,227,249,285,268,234,269,230,217,0.1791,972,22,42,0,30,34,5,22,127,5,288,5,157,5,5,727,165219091,22657320,7590614.85,ITAWAMBA CO,532.7219087503436,0.159,7372394.53,3113.61667,314,396,15,1986813.66,774387.48,604.4625,536.625,165219.091,48.953804740740736,18456773.592,5468.673656888889,16850522.9422,4992.74753842963,27912321,8270,7590614,2249,Rural,87600,44567,2705112,991291.2717994,431103,1370.7065327407406
2802160,3000,JACKSON COUNTY,65683911.7993,7375.242735156075,45308724,13964296.2093,16684565.715999998,13964296.2093,8906,17.340467993401976,44651755,5013.671120592859,5087.438131596677,51719615.589999996,5807.277744217381,0,622,676,645,613,664,642,690,709,713,791,697,686,589,0.1588,1959,190,123,0,102,48,14,37,212,36,224,5,457,5,5,1263,595877347,50516143,39052547.89,JACKSON COU,513.5962883694212,0.152,19167342.79,8023.70787,771,451,46,4357233.76,2053657.83,1414.2728,1353.712,595877.347,66.90740478329215,35035049.874,3933.8704102852007,37755319.38069999,4239.3127532786875,84361271,9472,39052547,4384,Rural,146700,56700,4881551,2579227.0511712,675496,1567.964990938693
2802190,2520,JACKSON PUBLIC,141951220.1864,7586.917166563335,95857473,30178605.8664,35388877.888000004,30178605.8664,18710,179.73901008717698,97624406,5217.766221272047,5123.328327097809,111772614.32,5973.9505248530195,800,1273,1357,1325,1473,1134,1365,1361,1046,1280,1775,1560,1339,1336,0.5392,5053,415,191,5,249,84,18,347,373,29,383,5,485,5,5,2181,1263888496,106874557,96927943.61,JACKSON PUB,104.09537690746866,0.401,67919104.22,16679.1833,1107,1028,44,11759441.05,4155700.27,10088.432,7502.71,1263888.496,67.55149631213256,76383736.43199998,4082.5086281133076,81594008.45359999,4360.983883142704,192785416,10303,96927943,5180,City,89100,38399,10955513,5655999.46667,1437620,1612.9666417103153
2802250,3300,JEFF DAVIS COUNTY,10448892.8944,8460.642019757086,7115815,2221418.1744,2990386.364,2221418.1744,1235,3.02406815418243,6801130,5506.987854251012,5761.793522267207,8227474.72,6661.922850202429,0,91,106,80,112,83,95,91,89,92,107,92,99,85,0.3773,508,5,18,0,14,5,5,5,58,5,30,5,71,5,0,209,106799513,7933649,5841123.54,JEFF DAVIS,408.39026669816826,0.37200000000000005,7500445.03,1128.20879,143,68,10,823222.01,288437.71,465.9655,459.4200000000001,106799.513,86.47733846153847,5237088.356,4240.557373279352,6006056.5456,4863.203680647774,12956938,10491,5841123,4729,Rural,94600,32116,911544,373889.82572456,250985,1798.7191695546558
2802220,3200,JEFFERSON COUNTY,8399079.692,7901.297922859831,6075832,1518493.172,1518493.172,1857758.3604,1063,2.044774724268764,5866334,5518.658513640639,5715.740357478833,6880586.52,6472.800112888052,38,83,81,72,73,69,82,79,74,79,100,90,56,66,0.5077,392,0,16,0,15,5,0,5,16,5,23,0,53,0,0,140,54231899,6774139,3264024.33,JEFFERSON C,519.8616685660282,0.429,7157999.7,935.093407,84,49,5,568908.77,235845.75,539.6851,456.027,54231.899,51.0177789275635,5362093.347999999,5044.302302916274,5022828.1596,4725.144082408278,9339856,8786,3264024,3070,Rural,63400,25019,660344,303146.53469380003,176238,1428.497809971778
2802280,3400,JONES COUNTY,65530051.628,7687.711359455654,48754945,10685807.468,10685807.468,14807945.9232,8524,12.532828035582142,49078756,5757.714218676678,5719.726067573909,54844244.16,6434.097156264664,213,624,688,620,597,641,573,626,628,652,679,672,560,556,0.2359,1977,587,123,0,105,73,14,64,290,88,343,5,470,5,5,1585,381635981,54358445,24411833.97,JONES COUNT,680.1338034639415,0.20600000000000002,18990452.13,7660.86304,865,622,98,4166069.41,1923229.75,2010.8116,1755.9440000000002,381635.981,44.77193582824965,44158436.691999994,5180.482953073673,40036298.2368,4696.8909240732055,73166778,8583,24411833,2863,Rural,102600,46981,6678155,2496790.02543584,718492,1253.61420319099
2802310,3500,KEMPER COUNTY,7831639.823100001,8859.321066855204,5223304,1664994.2931000001,9677971.520000001,1664994.2931000001,884,1.1539308915126445,5063006,5727.382352941177,5908.714932126697,6166645.53,6975.8433597285075,22,64,69,47,57,58,48,64,52,68,79,107,72,52,0.491,319,0,13,0,5,5,5,5,36,5,27,0,26,0,0,123,345641840,5823628,7984702.55,KEMPER COUN,766.0770731609392,0.38,4120973.57,806.191011,67,55,5,742557.09,200784.44,434.044,335.92,345641.84,390.997556561086,-3511325.990000001,-3972.0882239819016,4501651.2369,5092.365652601809,13208006,14941,7984702,9032,Rural,73600,31103,662251,267481.76264832,212390,1883.477707126697
2802340,0420,KOSCIUSKO,16354065.654,7703.281042863871,11562251,3053274.9239999996,3053274.9239999996,3591213.4971000003,2123,13.88364053689658,11686571,5504.743758831842,5446.185115402732,13300790.73,6265.092195007066,126,150,149,149,130,139,160,187,141,172,185,147,110,161,0.3232,573,26,34,0,28,19,5,18,85,5,76,5,109,5,0,380,109045533,12891123,5823437.56,KOSCIUSKO,152.91378326585195,0.301,9306818.41,1876.07778,222,157,10,1279002.82,459536.91,686.1536,639.023,109045.533,51.36388742345737,10247515.806000002,4826.90334715026,9709577.232900001,4573.517302355158,17385688,8189,5823437,2743,Town,97600,32570,1771548,642541.40936476,37629,1438.1888478568062
2802370,3600,LAFAYETTE COUNTY,21945770.8785,7641.285124825905,15004848,4665636.328500001,4986644.432,4665636.328500001,2872,5.265027287859731,14682761,5112.381963788301,5224.529247910864,17280134.55,6016.7599408077995,88,209,223,193,212,172,210,218,207,238,233,241,176,211,0.1609,872,39,46,0,34,41,5,5,158,13,84,5,152,5,5,554,178094444,16729384,12444490.33,LAFAYETTE C,545.4862516329878,0.157,4294321.9,2487.40988,344,186,23,1633197.08,642089.47,462.10479999999995,450.904,178094.444,62.01060027855153,12293490.118,4280.463133008357,12614498.2215,4392.234756789693,27449338,9557,12444490,4333,Town,149100,53438,1883710,811507.5966999601,343697,1624.525184018106
2802400,3700,LAMAR COUNTY,78260623.26,7615.864466718568,53336592,16638085.260000002,18456790.856,16638085.260000002,10276,18.4821098768896,57470339,5592.676041261191,5190.404048267808,61622538,5996.743674581549,256,785,759,698,727,684,761,721,775,815,923,849,712,639,0.186,3020,334,207,0,81,54,5,46,379,33,424,16,676,5,5,1926,659171102,59466669,38313782.71,LAMAR COUNT,555.9971274085605,0.16699999999999998,22842073.31,9204.80556,1136,752,43,5947122.84,2338823.16,1911.336,1716.0919999999999,659171.102,64.14666231996885,43165747.144,4200.6371296224215,44984452.739999995,4377.622882444531,91650374,8918,38313782,3728,Rural,177100,60830,7523075,3018306.42710432,905221,1619.1207921370185
2802430,3800,LAUDERDALE COUNTY,46427507.172,7855.754174619289,32497008,9353906.352,9353906.352,10009872.2214,5910,9.094489642445751,32009830,5416.21489001692,5498.6477157360405,37073600.82,6273.0289035533,79,451,471,407,404,394,421,428,447,428,496,506,427,439,0.2524,1942,96,111,0,84,43,5,32,185,32,183,5,198,5,5,893,334068084,36231952,17790339.4,LAUDERDALE,649.8440519869175,0.185,12958370.16,5234.47296,467,379,42,3226031.14,1350561.68,1491.684,1093.35,334068.084,56.52590253807106,27719694.468000002,4690.30363248731,27063728.5986,4579.311099593909,50287347,8508,17790339,3010,Rural,114600,52855,3790720,1716854.16987404,890464,1582.7252710659898
2802460,3420,LAUREL,19473328.6936,7180.430934218289,13360553,4139999.0136,6061171.2,4139999.0136,2712,185.55971238482408,15119073,5574.879424778761,4926.457595870206,15333329.68,5653.882625368731,111,227,227,224,220,168,212,203,187,189,202,182,175,148,0.4761,419,194,39,0,29,32,5,27,87,20,84,5,101,5,5,424,216470400,14896107,14655250.7,LAUREL,14.615241450556374,0.336,8772059.28,2311.04469,217,192,30,1369722.14,603054.54,1291.1832000000002,911.2320000000001,216470.4,79.81946902654867,9272158.48,3418.937492625369,11193330.6664,4127.3343165191745,28015803,10330,14655250,5403,Town,84700,31481,1752686,818523.83752272,182120,1526.5483088495575
2802490,3900,LAWRENCE COUNTY,14107991.049899999,8318.39094923349,9634705,2999336.6799,3469638.06,2999336.6799,1696,3.9392133131142626,9340471,5507.353183962264,5680.840212264151,11108654.37,6549.914133254717,0,146,128,121,137,110,133,124,106,140,146,158,119,102,0.3284,581,17,27,5,34,5,5,16,96,5,34,0,66,5,5,294,123915645,10742040,7374467.95,LAWRENCE CO,430.5428178651175,0.257,4744510.8,1567.43825,196,87,20,1079159.01,394790.36,556.9664,435.872,123915.645,73.06346992924529,7639016.309999999,4504.136975235849,8109317.690099999,4781.437317275943,17009172,10028,7374467,4348,Rural,94800,41914,1246734,517424.265804,300491,1768.4768159787734
2802520,4000,LEAKE COUNTY,20484122.064,8090.095601895734,14786799,3731170.044,3731170.044,4523297.0454,2532,4.344414921585149,14271744,5636.549763033176,5839.968009478673,16752952.02,6616.489739336493,0,200,214,182,170,164,183,153,179,221,230,214,146,178,0.3133,703,273,41,0,84,19,5,24,53,13,104,5,102,0,0,445,133256073,16486274,5407327.41,LEAKE COUNT,582.8172597925218,0.289,10802074.2,2305.08907,239,198,13,1380629.13,585523.89,793.2756,731.7479999999999,133256.073,52.62878080568721,13021781.976,5142.883876777251,12229654.974599998,4830.037509715639,20194126,7975,5407327,2135,Town,83300,37096,2171897,753334.28731416,330948,1473.6058625592418
2802550,4100,LEE COUNTY,49787871.654,7899.0753060447405,34181820,10281198.424,10281198.424,10666801.7721,6303,20.458006274803886,33279992,5280.024115500555,5423.103284150405,39506673.23,6267.915790893225,0,501,507,496,465,426,464,476,487,499,522,530,428,433,0.246,1605,125,84,0,87,36,5,39,227,11,141,5,341,5,5,984,367185658,38110402,23825813.85,LEE COUNTY,308.0945384087982,0.196,12212271.08,5627.86111,655,310,21,3866068.97,1458784.26,1550.538,1235.3880000000001,367185.658,58.25569696969697,29225474.805999994,4636.756275741709,28839871.457899995,4575.578527352054,58007633,9203,23825813,3780,Rural,121200,49723,3681223,1827354.36881476,540267,1631.1595151515153
.,4225,LEFLORE LEGACY,2387339.6152238213,9905.973507152785,1790227,484922.4552238213,484922.4552238213,513652.6332000001,241,Inf,1703264,7067.485477178423,7428.327800829876,1902417.1600000001,7893.847136929461,0,0,0,0,0,0,0,89,5,87,0,0,0,0,0.5622,5,0,0,0,0,5,0,5,5,5,5,0,11,0,0,22,17318659.115136474,1995981,772039.69,LEFLORE LEG,0,0.473,1012642.76,180.584932,16,15,5,56793.29,55396.87,135.49020000000002,113.993,17318.659115136474,71.86165607940445,1417494.7047761788,5881.720766706137,1388764.5268,5762.5084099585065,NA,NA,NA,NA,NA,NA,NA,46028,98796.61876488,0,2012.1263702233248
2802610,7612,LELAND,5545065.5926,7921.522275142857,3775526,1178872.2126,1821726.508,1178872.2126,700,3.6728497041148813,3691126,5273.0371428571425,5393.608571428572,4366193.38,6237.419114285714,42,43,40,50,54,44,57,55,53,66,54,43,45,29,0.5896,248,0,5,0,5,5,0,15,36,5,5,0,27,0,0,90,65061661,4209455,3894638.12,LELAND,190.5877061116207,0.305,5355699.91,631.15,68,30,5,437800.07,152867.31,412.72,213.5,65061.661,92.94523,2544466.872,3634.9526742857142,3187321.1673999997,4553.3159534285705,7670164,10957,3894638,5563,Town,72000,38088,403540,196738.47161756,139560,1684.1031608571427
2802640,4300,LINCOLN COUNTY,21972495.012,7861.357786046511,16621900,3318204.652,3318204.652,5036658.3972000005,2795,6.414606713935994,16291711,5828.876923076923,5947.0125223613595,18654290.36,6674.164708407871,0,218,247,188,207,207,218,221,227,219,240,237,176,171,0.2343,1000,12,22,0,19,12,5,27,122,5,58,0,167,5,5,437,118507309,18532287,6118841.939999999,LINCOLN COU,435.7242968501481,0.204,4856062.13,2580.22472,308,124,15,1383288.63,649101.73,654.8685,570.18,118507.309,42.39975277280858,15336085.708,5486.971630769231,13617631.9628,4872.140237137746,22740741,8136,6118841,2189,Rural,95000,50288,1605913,815307.9485986,325768,1187.1930776386403
2802670,2422,LONG BEACH,23289431.904,7951.325334243769,16936883,4251399.544,4251399.544,5140268.7372,2929,180.4985717233992,17060468,5824.6732673267325,5782.479685899624,19038032.36,6499.840341413452,37,194,226,211,178,214,242,216,199,245,269,237,208,205,0.2292,657,48,60,0,74,30,5,16,95,14,105,5,109,0,5,511,151835698,18883471,10147927.49,LONG BEACH,16.227275219044266,0.171,10563525.94,2663.46667,278,221,19,1432179.55,668969.81,671.3267999999999,500.85900000000004,151835.698,51.838749743939914,14786632.816,5048.355348583134,13897763.6228,4744.88344923182,27084810,9247,10147927,3464,Suburb,151300,53491,2371597,852141.64659312,222298,1451.4849928303174
2802700,8020,LOUISVILLE,20291079.5219,8042.4413483551325,13902751,4313851.5519,4553163.888,4313851.5519,2523,4.155359423044693,13490290,5346.9242964724535,5510.404676971859,15977227.969999999,6332.630982956797,39,173,208,176,155,145,184,163,214,234,212,206,189,185,0.3781,958,5,22,0,30,5,5,11,57,5,33,5,110,0,5,288,162612996,15500621,8706891.66,LOUISVILLE,607.1676943294018,0.3,8989137.49,2317.5366,197,81,10,1500172.7,574304.27,953.9463,756.9,162612.996,64.45223781212843,11424064.081999999,4527.968324217201,11663376.4181,4622.820617558462,22609642,8961,8706891,3451,Town,84900,34724,1458545,767365.87391684,483678,1709.8103653983355
2802730,4400,LOWNDES COUNTY,40299557.6278,7660.056572476716,27863499,8567622.4878,14721070.056,8567622.4878,5261,11.971104316286183,27400597,5208.248812012926,5296.236266869417,31731935.14,6031.540608249383,133,366,424,356,356,354,401,355,421,403,482,401,341,389,0.2349,1571,29,77,0,74,42,5,25,181,20,161,5,282,5,5,874,525752502,31065904,32506676.7,LOWNDES COU,439.47491066823557,0.182,11894740.24,4739.23333,537,315,30,2670741.77,1197694.37,1235.8089,957.502,525752.502,99.9339482988025,17010865.084,3233.390055882912,23164312.6522,4403.024644022049,60370175,11475,32506676,6178,Rural,139400,61457,3521717,1550810.29741144,514790,1628.5159642273331
2802790,4500,MADISON COUNTY,98461319.12980002,7480.726267269413,66965845,20932721.389800005,43065030.428,20932721.389800005,13162,24.987582801714243,65947698,5010.461783923416,5087.8168211518005,77528597.74000001,5890.335643519223,85,888,1009,942,929,917,1001,943,978,1038,1151,1128,992,916,0.128,4890,599,213,0,91,76,17,75,325,65,404,5,396,5,5,1680,1538036801,74662358,81414049.97,MADISON COU,526.7416262087198,0.10099999999999999,18540132.69,11965.6851,812,790,75,7529248.15,3033504.59,1684.736,1329.3619999999999,1538036.801,116.8543383224434,34463567.31200001,2618.4141704908075,56595876.350200005,4299.945019769032,148379894,11273,81414049,6185,Suburb,228300,83293,6936614,3809644.23340488,1200043,1590.3906237501903
2802820,4600,MARION COUNTY,16065281.569999998,8437.64788340336,11710691,2836300.1799999997,2836300.1799999997,3571824.9753,1904,3.9993761316539764,11385341,5979.695903361345,6150.57300420168,13228981.389999999,6947.994427521007,40,144,147,119,138,116,128,166,148,175,177,154,120,114,0.3229,757,5,15,0,11,12,5,14,145,5,45,5,83,0,0,334,101296435,13056623,5635882.7,MARION COUN,476.0742519140315,0.27399999999999997,9011834.97,1727.22803,239,96,5,1082127.69,436162.7,614.8016,521.6959999999999,101296.435,53.20190913865546,10392681.209999999,5458.340971638655,9657156.414699998,5072.035932090335,17346573,9110,5635882,2960,Rural,86200,32855,1346342,567705.08742668,483338,1489.6534558823528
2802850,4700,MARSHALL COUNTY,21191542.440300003,7631.091984263595,14548948,4505288.5503,9647182.243999999,4505288.5503,2777,5.273335491402194,13925285,5014.506661865323,5239.088224702917,16686253.89,6008.733845876845,0,213,223,189,234,185,239,216,175,217,272,208,197,160,0.2866,1009,232,34,0,30,18,5,32,56,14,35,5,116,5,5,346,344542223,16221087,10457297.79,MARSHALL CO,526.6116681799792,0.278,9336823.97,2487.44911,202,129,24,1496618.88,640687.01,795.8882000000001,772.0060000000001,344542.223,124.06993986316168,7039071.646000002,2534.775529708319,12180965.3397,4386.375707490098,25006245,9004,10457297,3765,Rural,113500,46662,1722545,806245.6398436,195664,1622.3581383867484
