dist_id,district,total_enroll,model_1_total_funding,model_1_pp_funding,model_1_diff_total,model_1_diff_pp,model_1_state_share,model_1_state_share_pp,model_1_local_diff_total,model_1_local_share_total,model_1_local_share_pp,base_funding,sped_tier_1_funding,sped_tier_2_funding,sped_tier_3_funding,total_sped_funding,ell_funding,ed_funding,gifted_funding,sped_pp_diff,ed_pp_diff,ell_enroll,gifted_enroll,econ_dis_enroll,stpov_enroll,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,vocational_enroll,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,direct_cert_pct,assessed_value,stpov_rate,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,sped_funding,at_risk_funding,cte_funding,local_share_expected_pp,model_1_local_mills_total
1400,COAHOMA COUNTY,988,7556867.52,7648.651336032388,99349.13999999966,100.55580971659856,5516513.2896,5583.515475303643,-3618319.0696,2040354.2304,2065.135860728745,5928000,385200,442500,153000,980700,0,633347.52,14820.000000000002,-66.67955801105018,614.5527791288803,0,49.400000000000006,527.7896000000001,434.72,107,59,15,365,7457518.38,7548.095526315789,5732004,1725514.38,4089162.924,1725514.38,6170910,6245.86032388664,5801.6234817813765,6390794,6468.414979757085,0.5342,146041533,0.44,146041.533,147.81531680161942,2301631.0760000004,2329.5861093117414,4665279.62,992769,308992.95452468,107670,1746.472044534413,4089162.9239999996
8111,COFFEEVILLE,417,3146406.48,7545.339280575539,5082.449999999721,12.188129496402325,2296876.7304,5508.097674820144,-1140208.1804,849529.7496000001,2037.241605755396,2502000,147600,187500,51000,386100,0,252051.48,6255,1101.140845070423,641.90136492288,0,20.85,210.0429,146.36700000000002,41,25,5,131,3141324.0300000003,7533.151151079137,2414487,726837.03,1406185.228,726837.03,2336671,5603.52757793765,5790.136690647482,2691989,6455.6091127098325,0.5037,50220901,0.35100000000000003,50220.901,120.43381534772182,1285803.772,3083.4622829736213,1965151.97,307919,117224.65579764,57880,1743.0144604316547,1406185.228
4620,COLUMBIA,1646,12490494.48,7588.392758201701,437989.1919999998,266.093069258809,10067513.192,6116.350663426489,-3780341.9319999996,2422981.288,1472.0420947752127,9876000,756000,1140000,51000,1947000,6000,636804.4800000001,24690.000000000004,1337.1471389645772,333.4820645871338,5,82.30000000000001,530.6704000000001,490.508,210,152,5,498,12052505.288,7322.299688942892,9629524,2422981.288,2422981.288,2898791.2800000003,9044947,5495.107533414338,5850.25759416768,10736264,6522.6391251518835,0.3224,86535046,0.298,86535.046,52.5729319562576,8313282.711999999,5050.597030376671,7837472.72,1456267,459835.41939272,79052,1472.0420947752127,2422981.288
4420,COLUMBUS,3090,23612738.4,7641.662912621358,2410113.669999998,779.9720614886719,17453881.163999997,5648.50523106796,-7175253.853999999,6158857.2360000005,1993.157681553398,18540000,900000,1890000,153000,2943000,54000,2029388.4,46350,1098.5377176015472,644.6073509376598,45,154.5,1691.157,1016.61,250,252,15,1104,21202624.73,6861.6908511326865,16296779,4905845.73,6158857.2360000005,4905845.73,16151073,5226.884466019417,5274.038511326861,18169799,5880.193851132686,0.5473,219959187,0.32899999999999996,219959.187,71.18420291262136,12010941.764,3887.036169579288,13263953.27,2375056,939256.16621032,337991,1587.6523398058257,6158857.2360000005
1500,COPIAH COUNTY,2205,16271340.6,7379.292789115646,318992.86799999885,144.66796734693798,12587725.868,5708.719214512472,-1258196.4280000003,3683614.732,1670.5735746031746,13230000,784800,885000,173400,1843200,123600,1041465.6000000001,33075,1018.3371104815869,425.9664800504213,103,110.25,867.888,544.635,218,118,17,556,15952347.732,7234.624821768708,12268733,3683614.732,3683614.732,3693276.54,12820619,5814.339682539682,5564.051247165533,13678802,6203.538321995465,0.3936,131557669,0.247,131557.669,59.66334195011338,9995187.268,4532.96474739229,9985525.46,1483727,671774.403562,137076,1670.5735746031746,3683614.732
0220,CORINTH,2490,17884659.6,7182.59421686747,2262540.3720000014,908.6507518072294,14754199.372000001,5925.381273895583,-3571735.512,3130460.228,1257.2129429718875,14940000,788400,720000,153000,1661400,277200,968709.5999999999,37350,1065.6121212121216,294.31986559479117,231,124.5,807.2579999999999,672.3000000000001,219,96,15,965,15622119.228,6273.943465060241,12491659,3130460.228,3130460.228,3760384.23,12920052,5188.775903614458,5016.730522088354,13927349,5593.3128514056225,0.3242,111802151,0.27,111802.151,44.900462248995986,10796888.772,4336.0999084337345,10166964.77,1309748,731117.53393968,149433,1257.2129429718875,3130460.228
1600,COVINGTON COUNTY,2609,19728809.88,7561.82824070525,797701.879999999,305.75004982751943,14402031.212399999,5520.134615714833,-4972293.012400001,5326778.6676,2041.693624990418,15654000,1728000,982500,51000,2761500,73200,1200974.8800000001,39135.00000000001,-274.0584415584417,439.0987021284308,61,130.45000000000002,1000.8124,746.1740000000001,480,131,5,559,18931108,7256.078190877731,14550844,4380264,8160987.716,4380264,14578892,5587.923342276735,5577.172863165964,16223200,6218.167880413952,0.3836,291463847,0.28600000000000003,291463.847,111.7147746262936,8062212.284,3090.154190877731,11842936,2930320,761519.45408596,323221,1678.9053277117669,8160987.716
1700,DESOTO COUNTY,35003,249226580.4,7120.149141502157,14894312.280000001,425.5153066879984,190595911.632,5445.1307497071675,-62543616.971999995,58630668.768,1675.018391794989,210018000,9860400,18172500,1356600,29389500,1880400,7413635.399999999,525045,663.2332389046269,-430.9926472984307,1567,1750.15,6178.0295,4445.381,2739,2423,133,7346,234332268.12,6694.633834814159,180112662,54219606.120000005,58630668.768,54219606.120000005,181119369,5174.395594663315,5145.635002714053,200813356,5737.032711481873,0.1765,2093952456,0.127,2093952.456,59.82208542124961,142182687.232,4062.014319686884,146593749.88,25877680,10076320.6892928,1562060,1548.9988321001058,58630668.768
6811,E. TALLAHATCHIE,853,6116612.88,7170.7067760844075,-24770.25,-29.038980070340585,4565303.82,5352.056060961313,-1035720.1000000003,1551309.0599999998,1818.6507151230946,5118000,252000,270000,51000,573000,0,412817.88,12795.000000000002,-668.8918918918916,430.9677495571268,0,42.650000000000006,344.0149,367.643,70,36,5,320,6141383.13,7199.745756154748,4720395,1420988.13,1551309.0599999998,1420988.13,4785661,5610.388042203986,5533.874560375147,5262919,6169.893317702227,0.4033,55403895,0.431,55403.895,64.95181125439625,3711609.94,4351.242602579133,3841930.87,647247,264558.55273288,59279,1665.8711957796015,1551309.0599999998
3111,EAST JASPER,755,5593975.8,7409.239470198675,-43442.270000000484,-57.539430463577446,4083602.334,5408.744813245033,-4297793.254,1510373.466,2000.4946569536423,4530000,208800,450000,51000,709800,6000,336850.8,11325,573.1626016260161,377.29483677944063,5,37.75,280.709,224.235,58,60,5,212,5637418.07,7466.7789006622525,4333037,1304381.07,2451217.468,1304381.07,3672371,4864.067549668875,5739.121854304636,4831041,6398.729801324504,0.3718,87543481,0.297,87543.481,115.95163046357617,2379823.532,3152.084148344371,3526659.9299999997,639301,230940.74366248,43920,1727.657046357616,2451217.468
