geoid,dist_id,district,maep_expected_local_total,maep_expected_local_pp,maep_rev_fy24,local_share_expected_total,local_funding_28_mill,local_funding_27_pct,total_enroll,st_per_sq_mile,maep_rev_fy23,maep_fy23_pp,maep_fy24_pp,maep_rev_full_funding_fy24,maep_full_pp_fy24,gr_prek_enroll,gr_k_enroll,gr_1_enroll,gr_2_enroll,gr_3_enroll,gr_4_enroll,gr_5_enroll,gr_6_enroll,gr_7_enroll,gr_8_enroll,gr_9_enroll,gr_10_enroll,gr_11_enroll,gr_12_enroll,direct_cert_pct,vocational_enroll,ell_enroll,autism,deaf_blind,developmentally_delayed,emotional_disability,hearing_impaired,intellectual_disability,language_speech_impaired,multiple_disabilities,other_health_impairment,orthopedic_impairment,specific_learning_disability,traumatic_brain_injury,visually_impaired,sped_enroll,assessed_value,local_revenue,shortName,sq_miles,stpov_rate,federal_revenue,total_ada,sped_tier_1_enroll,sped_tier_2_enroll,sped_tier_3_enroll,econ_dis_enroll,stpov_enroll,mill_1_value,mill_1_value_pp,local_share_mills,local_share_pp_mills,local_share_pct,local_share_pp_pct,rev_total_local_state,rev_pp_local_state,local_revenue_total,local_revenue_pp,urbanicity,mpv,mhi,sped_funding,at_risk_funding,local_share_expected_pp
2803900,6200,SCOTT COUNTY,27589314.77,6916.348651,24135040,3454274.768,3454274.768,7265410.29,3989,7.679758572,23516599,5895.361995,6050.398596,26908927,6745.782652,99,304,340,301,256,240,282,314,308,318,311,291,254,254,0.2263,875,382,56,0,40,11,5,120,157,5,89,0,223,5,5,723,123366956,6490353.79,SCOTT COUNT,519.41737,0.271,15308976.04,3555.0271,420,281,15,902.7107,1081.019,123366.956,30.92678767,23454652.23,5879.832598,19643516.71,4924.421336,30625393,7677,6490353,1627,Rural,71400,36305,2813807,1132778.749,865.9500547
2803870,5620,RICHTON,4197543.496,7031.061132,3443637,753906.496,753906.496,1036643.67,597,4.836576805,3391068,5680.180905,5768.236181,3839421,6431.190955,0,52,36,39,42,35,45,44,45,54,59,50,49,40,0.2211,210,0,5,0,5,5,5,5,23,0,15,0,36,0,0,99,26925232,1383928.29,RICHTON,123.4344091,0.28,2450604.37,535.511111,64,35,0,131.9967,167.16,26925.232,45.10089112,3085514.504,5168.366003,2802777.33,4694.769397,4827565,8086,1383928,2318,Rural,89800,31393,344990,166920.1194,1262.824951
2803830,6100,RANKIN COUNTY,124355565.7,6642.925519,95582277,28773288.72,46621147.19,28773288.72,18720,24.9663756,94048208,5023.942735,5105.890865,106567736,5692.72094,320,1259,1385,1323,1359,1300,1396,1428,1448,1515,1623,1471,1369,1266,0.1383,6512,403,249,5,273,99,28,123,812,56,279,5,835,5,5,2769,1665040971,92575401.94,RANKIN COUN,749.8084745,0.121,31538902.57,17365.8096,1920,783,71,2588.976,2265.12,1665040.971,88.94449631,59946588.81,3202.275043,77794447.28,4155.686286,188157678,10051,92575401,4945,Rural,169700,70439,9818362,5436752.458,1537.034654
2803810,6000,QUITMAN COUNTY,6587929.84,7732.312019,5063620,1524309.84,2182224.38,1524309.84,852,2.10393189,4876550,5723.650235,5943.215962,5645592,6626.28169,28,75,62,74,63,52,74,62,62,64,53,65,46,47,0.4485,392,0,14,0,5,5,0,5,35,5,25,5,40,0,0,143,77936585,3629841.24,QUITMAN COU,404.9560749,0.439,6196847.93,790.722222,80,54,5,382.122,374.028,77936.585,91.47486502,3463367.62,4064.985469,4121282.16,4837.185634,8693461,10203,3629841,4260,Town,50900,25283,647440,262512.4848,1789.096056
2803780,1212,QUITMAN SEP,11397837.03,7154.951055,8760615,2637222.03,3415760.46,2637222.03,1593,3.116448848,8369295,5253.794727,5499.444444,9767489,6131.505964,60,124,158,117,95,104,101,105,100,115,147,128,106,94,0.4262,456,5,16,0,13,5,5,31,30,5,99,5,98,5,5,306,121991445,7013617.08,QUITMAN SEP,511.1587187,0.349,4387493.74,1352.98889,141,161,15,678.9366,555.957,121991.445,76.57968927,6351728.54,3987.274664,7130266.97,4475.999353,15774232,9902,7013617,4402,Rural,76500,37364,1180662,466266.3022,1655.50661
2803750,5900,PRENTISS COUNTY,16888153.39,7413.587968,14392968,2495185.392,2495185.392,4332738.33,2278,6.109987156,14130501,6203.029412,6318.247586,16047179,7044.415716,88,172,187,160,146,147,192,177,178,172,198,172,118,157,0.2092,809,5,38,0,30,17,0,17,211,5,101,5,162,0,5,581,89113764,5215941.45,PRENTISS CO,372.8322076,0.191,8944435.26,2029.40546,403,178,10,476.5576,435.098,89113.764,39.11929939,13551993.61,5949.075333,11714440.67,5142.423472,19608909,8607,5215941,2289,Rural,90000,41292,2125564,668851.1936,1095.340383
2803720,5530,POPLARVILLE,13637803.77,7143.951687,10482300,3155503.77,3196906.888,3155503.77,1909,3.903878108,10154245,5319.143531,5490.990047,11687051,6122.080147,17,155,163,128,140,144,140,156,134,154,153,161,123,113,0.2341,398,13,27,0,20,25,5,5,59,5,70,0,75,0,5,295,114175246,6485300.35,POPLARVILLE,489.0009234,0.2,5764252.08,1642.64045,154,132,10,446.8969,381.8,114175.246,59.80892928,8490144.112,4447.430127,8531547.23,4469.118507,16967600,8888,6485300,3397,Rural,124400,46111,1222569,534963.5253,1652.96164
2803690,5820,PONTOTOC CITY,16115660.8,7000.72146,13678069,2437591.8,2437591.8,4117531.32,2302,22.96634153,13302772,5778.788879,5941.819722,15250116,6624.724587,35,199,200,168,169,137,178,170,152,213,198,170,146,127,0.233,681,249,38,0,38,5,5,16,178,5,109,5,130,5,5,527,87056850,5004069.66,PONTOTOC CI,100.2336396,0.207,6264580.39,2056.68333,346,178,15,536.366,476.514,87056.85,37.8179192,12812524.2,5565.82285,11132584.68,4836.048949,18682138,8115,5004069,2173,Town,117400,45621,1753237,671774.4036,1058.901738
2803660,5800,PONTOTOC COUNTY,24486970.27,7064.907752,21157138,3329832.268,3329832.268,6368967.63,3466,8.719246463,20904769,6031.381708,6104.19446,23588769,6805.761396,0,301,295,279,258,251,272,249,266,264,271,255,213,231,0.1934,1030,216,50,0,22,19,5,26,184,16,49,5,174,5,5,552,118922581,7625327.65,PONTOTOC CO,397.5114151,0.212,9778673.22,3107.49162,380,154,26,670.3244,734.792,118922.581,34.31118898,20258936.73,5845.048105,17219801.37,4968.205819,28782465,8304,7625327,2200,Rural,100600,44126,2551894,1014969.63,960.7132914
2803630,5520,PICAYUNE,22335731.02,6509.97698,17167708,5168023.02,5302805.032,5168023.02,3431,18.14061928,16298497,4750.363451,5003.703876,19140826,5578.789274,264,249,271,232,254,219,210,241,230,270,278,268,217,157,0.3619,1093,116,46,0,56,16,5,34,146,13,76,5,102,5,5,500,189385894,11216053.57,PICAYUNE,189.1335653,0.257,14487290.68,2755.9,304,182,23,1241.6789,881.767,189385.894,55.19845351,13838020.97,4033.232576,13972802.98,4072.51617,28383761,8272,11216053,3269,Town,118900,40645,2053953,969073.6234,1506.273104
