ELSI Export,,,,,,
,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,
,,,,,,
This is a District based table with the following filters applied: State(s) (All Years): MISSISSIPPI,,,,,,
,,,,,,
Agency Name,State Name [District] Latest available year,Latitude [District] 2021-22,Longitude [District] 2021-22,Agency Type [District] 2021-22,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
STONE CO SCHOOL DIST,Mississippi,30.861018,-89.140988,1-Regular local school district that is NOT a component of a supervisory union,STONE CO SCHOOL DIST,2804170
SUNFLOWER CTY CONS SCHOOL DISTRICT,MISSISSIPPI,33.462324,-90.627868,1-Regular local school district that is NOT a component of a supervisory union,SUNFLOWER CTY CONS SCHOOL DISTRICT,2800187
TATE CO SCHOOL DIST,Mississippi,34.685402,-89.972682,1-Regular local school district that is NOT a component of a supervisory union,TATE CO SCHOOL DIST,2804230
TISHOMINGO CO SP MUN SCH DIST,Mississippi,34.818545,-88.210056,1-Regular local school district that is NOT a component of a supervisory union,TISHOMINGO CO SP MUN SCH DIST,2804260
TUNICA COUNTY SCHOOL DISTRICT,Mississippi,34.68092,-90.381574,1-Regular local school district that is NOT a component of a supervisory union,TUNICA COUNTY SCHOOL DISTRICT,2804290
TUPELO PUBLIC SCHOOL DIST,Mississippi,34.256417,-88.706331,1-Regular local school district that is NOT a component of a supervisory union,TUPELO PUBLIC SCHOOL DIST,2804320
UNION CO SCHOOL DIST,Mississippi,34.491834,-89.009874,1-Regular local school district that is NOT a component of a supervisory union,UNION CO SCHOOL DIST,2804350
UNION PUBLIC SCHOOL DIST,Mississippi,32.569308,-89.111169,1-Regular local school district that is NOT a component of a supervisory union,UNION PUBLIC SCHOOL DIST,2804380
VICKSBURG WARREN SCHOOL DIST,Mississippi,32.342716,-90.863692,1-Regular local school district that is NOT a component of a supervisory union,VICKSBURG WARREN SCHOOL DIST,2804470
WALTHALL CO SCHOOL DIST,Mississippi,31.117607,-90.141813,1-Regular local school district that is NOT a component of a supervisory union,WALTHALL CO SCHOOL DIST,2804440
WATER VALLEY SCHOOL DISTRICT,Mississippi,34.156865,-89.639953,1-Regular local school district that is NOT a component of a supervisory union,WATER VALLEY SCHOOL DISTRICT,2804500
WAYNE CO SCHOOL DIST,Mississippi,31.674943,-88.648364,1-Regular local school district that is NOT a component of a supervisory union,WAYNE CO SCHOOL DIST,2804530
WEBSTER CO SCHOOL DIST,Mississippi,33.543703,-89.273349,1-Regular local school district that is NOT a component of a supervisory union,WEBSTER CO SCHOOL DIST,2804560
WEST BOLIVAR CONS SCHOOL DIST,MISSISSIPPI,33.845922,-91.026229,1-Regular local school district that is NOT a component of a supervisory union,WEST BOLIVAR CONS SCHOOL DIST,2800185
WEST JASPER CONSOLIDATED SCHOOLS,Mississippi,31.97827,-89.277481,1-Regular local school district that is NOT a component of a supervisory union,WEST JASPER CONSOLIDATED SCHOOLS,2804590
WEST POINT CONSOLIDATED SCHOOL DIST,MISSISSIPPI,33.602813,-88.647078,1-Regular local school district that is NOT a component of a supervisory union,WEST POINT CONSOLIDATED SCHOOL DIST,2800191
WEST TALLAHATCHIE SCHOOL DISTRICT,Mississippi,33.962971,-90.373406,1-Regular local school district that is NOT a component of a supervisory union,WEST TALLAHATCHIE SCHOOL DISTRICT,2804650
WESTERN LINE SCHOOL DISTRICT,Mississippi,33.235548,-91.045016,1-Regular local school district that is NOT a component of a supervisory union,WESTERN LINE SCHOOL DISTRICT,2804680
WILKINSON CO SCHOOL DIST,Mississippi,31.104319,-91.29811,1-Regular local school district that is NOT a component of a supervisory union,WILKINSON CO SCHOOL DIST,2804710
WINONA-MONTGOMERY CONSOLIDATED,MISSISSIPPI,33.487508,-89.734729,1-Regular local school district that is NOT a component of a supervisory union,WINONA-MONTGOMERY CONSOLIDATED,2800196
YAZOO CITY MUNICIPAL SCHOOL DIST,Mississippi,32.862913,-90.402969,1-Regular local school district that is NOT a component of a supervisory union,YAZOO CITY MUNICIPAL SCHOOL DIST,2804770
YAZOO CO SCHOOL DIST,Mississippi,32.781014,-90.374121,1-Regular local school district that is NOT a component of a supervisory union,YAZOO CO SCHOOL DIST,2804800
,,,,,,
,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Local Education Agency (School District) Universe Survey"" 2021-22 v.1a.",,,,,,
,,,,,,
† indicates that the data are not applicable.,,,,,,
– indicates that the data are missing.,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,
