ID,GEOID,Name,Short Name,Total Enrollment (FY23),Average Daily Attendance (FY23),Revenue: MAEP (FY24),Revenue: MAEP PP (FY24),Revenue: Local (FY22),Revenue: Local PP (FY22),Revenue: Total (MAEP + Local),Revenue: Total PP (MAEP + Local),Revenue: Federal (FY22),Revenue: Federal PP (FY22),Projected Revenue: State Formula,Projected Revenue: State Formula PP,Projected Revenue: Total (State + Local),Projected Revenue: Total PP (State + Local),Change in Revenue: Total (State + Local),Change in Revenue: Total PP (State + Local),Assessed Value (FY22),Assessed Value PP (FY22),Direct Certification % (FY24),Census Poverty % (FY21),ELL % (FY23),Vocational % (FY23),SPED Tier 1 %,SPED Tier 2 %,SPED Tier 3 %,Students per Square Mile,Calculations: Weighted Enrollment,Calculations: Formula Amount,Calculations: Formula Amount PP,Calculations: Mills Rule Expectation,Calculations: Maximum % Expectation,Calculations: Sparsity Multiplier %
2611,2800195,HOLMES CONSOL,HOLMES CONS,2544,2212,15672328,6160,6609648,2598,22281977,8758,20286509,7974,18354826,7214,24964475,9813,2682498,1054,126743852,49820,0.57,0.43,0,0.35,0.083,0.039,0.004,3.4,3449,21903654,8609,3548827,5913986,0.016
2700,2802040,HUMPHREYS COUNTY,HUMPHREYS C,1207,1211,8273465,6854,3266347,2706,11539812,9560,4763728,3946,8725839,7229,11992187,9935,452374,374,86307092,71505,0.64,0.43,0,0.53,0.111,0.048,0.012,2.9,1754,11142438,9231,2416598,3008458,0.021
2900,2802100,ITAWAMBA COUNTY,ITAWAMBA CO,3375,3098,23082908,6839,7590614,2249,30673522,9088,7372394,2184,23155917,6861,30746531,9110,73008,21,165219091,48953,0.18,0.16,0.01,0.29,0.093,0.117,0.004,6.3,4375,27782051,8231,4626134,7501153,0
3000,2802160,JACKSON COUNTY,JACKSON COU,8906,8100,51719615,5807,39052547,4384,90772163,10192,19167342,2152,51200343,5748,90252891,10133,-519272,-58,595877347,66907,0.16,0.15,0.02,0.22,0.087,0.051,0.005,17.3,10690,67884908,7622,16684565,18328925,0
2520,2802190,JACKSON PUBLIC,JACKSON PUB,18710,15978,111772614,5973,96927943,5180,208700557,11154,67919104,3630,121887082,6514,218815026,11695,10114468,540,1263888496,67551,0.54,0.4,0.02,0.27,0.059,0.055,0.002,179.7,24767,157275960,8405,35388877,42464509,0
3300,2802250,JEFF DAVIS COUNTY,JEFF DAVIS,1235,1125,8227474,6661,5841123,4729,14068598,11391,7500445,6073,7667269,6208,13508393,10937,-560204,-453,106799513,86477,0.38,0.37,0,0.41,0.116,0.055,0.008,3,1654,10503109,8504,2990386,2835839,0.02
3200,2802220,JEFFERSON COUNTY,JEFFERSON C,1063,926,6880586,6472,3264024,3070,10144610,9543,7157999,6733,7664884,7210,10928909,10281,784298,737,54231899,51017,0.51,0.43,0,0.37,0.079,0.046,0.005,2,1446,9183378,8639,1518493,2479512,0.03
3400,2802280,JONES COUNTY,JONES COUNT,8524,7392,54844244,6434,24411833,2863,79256078,9297,18990452,2227,58692854,6885,83104688,9749,3848609,451,381635981,44771,0.24,0.21,0.07,0.23,0.101,0.073,0.011,12.5,10925,69378661,8139,10685807,18732238,0
3500,2802310,KEMPER COUNTY,KEMPER COUN,884,795,6166645,6975,7984702,9032,14151348,16008,4120973,4661,5675796,6420,13660499,15453,-490848,-555,345641840,390997,0.49,0.38,0,0.36,0.076,0.062,0.006,1.2,1224,7775063,8795,9677971,2099267,0.038
420,2802340,KOSCIUSKO,KOSCIUSKO,2123,1809,13300790,6265,5823437,2743,19124228,9008,9306818,4383,14364797,6766,20188235,9509,1064007,501,109045533,51363,0.32,0.3,0.01,0.27,0.105,0.074,0.005,13.9,2743,17418072,8204,3053274,4702879,0
3600,2802370,LAFAYETTE COUNTY,LAFAYETTE C,2872,2486,17280134,6016,12444490,4333,29724624,10349,4294321,1495,17813547,6202,30258038,10535,533413,185,178094444,62010,0.16,0.16,0.01,0.3,0.12,0.065,0.008,5.3,3590,22800192,7938,4986644,6156051,0
3700,2802400,LAMAR COUNTY,LAMAR COUNT,10276,9015,61622538,5996,38313782,3728,99936320,9725,22842073,2222,63700530,6198,102014312,9927,2077992,202,659171102,64146,0.19,0.17,0.03,0.29,0.111,0.073,0.004,18.5,12938,82157321,7995,18456790,22182476,0
3800,2802430,LAUDERDALE COUNTY,LAUDERDALE,5910,5323,37073600,6273,17790339,3010,54863940,9283,12958370,2192,37703468,6379,55493807,9389,629867,106,334068084,56525,0.25,0.19,0.02,0.33,0.079,0.064,0.007,9.1,7410,47057374,7962,9353906,12705491,0
3420,2802460,LAUREL,LAUREL,2712,2262,15333329,5653,14655250,5403,29988580,11057,8772059,3234,17082326,6298,31737577,11702,1748996,644,216470400,79819,0.48,0.34,0.07,0.15,0.08,0.071,0.011,185.6,3644,23143497,8533,6061171,6248744,0
3900,2802490,LAWRENCE COUNTY,LAWRENCE CO,1696,1576,11108654,6549,7374467,4348,18483122,10898,4744510,2797,10577833,6236,17952301,10585,-530820,-312,123915645,73063,0.33,0.26,0.01,0.34,0.116,0.051,0.012,3.9,2212,14047472,8282,3469638,3792817,0.011
4000,2802520,LEAKE COUNTY,LEAKE COUNT,2532,2227,16752952,6616,5407327,2135,22160279,8752,10802074,4266,17451219,6892,22858546,9027,698267,275,133256073,52628,0.31,0.29,0.11,0.28,0.094,0.078,0.005,4.3,3335,21182389,8365,3731170,5719245,0.007
4100,2802550,LEE COUNTY,LEE COUNTY,6303,5708,39506673,6267,23825813,3780,63332487,10047,12212271,1937,39156148,6212,62981961,9992,-350525,-55,367185658,58255,0.25,0.2,0.02,0.25,0.104,0.049,0.003,20.5,7785,49437346,7843,10281198,13348083,0
4225,.,LEFLORE LEGACY,LEFLORE LEG,300,300,1902417,6341,772039,2573,2674456,8914,1012642,3375,2025321,6751,2797361,9324,122904,409,17318659,57728,0.56,0.47,0,0.02,0.053,0.05,0.017,NaN,395,2510243,8367,484922,677765,0
7612,2802610,LELAND,LELAND,700,582,4366193,6237,3894638,5563,8260831,11801,5355699,7650,4483718,6405,8378357,11969,117525,167,65061661,92945,0.59,0.31,0,0.35,0.097,0.043,0.007,3.7,967,6142080,8774,1821726,1658361,0.013
4300,2802640,LINCOLN COUNTY,LINCOLN COU,2795,2580,18654290,6674,6118841,2189,24773132,8863,4856062,1737,18690882,6687,24809724,8876,36592,13,118507309,42399,0.23,0.2,0,0.36,0.11,0.044,0.005,6.4,3465,22009087,7874,3318204,5942453,0
2422,2802670,LONG BEACH,LONG BEACH,2929,2654,19038032,6499,10147927,3464,29185959,9964,10563525,3606,19168546,6544,29316474,10009,130514,44,151835698,51838,0.23,0.17,0.02,0.22,0.095,0.075,0.006,180.5,3688,23419946,7995,4251399,6323385,0
8020,2802700,LOUISVILLE,LOUISVILLE,2523,2335,15977227,6332,8706891,3451,24684119,9783,8989137,3562,15671141,6211,24378032,9662,-306086,-121,162612996,64452,0.38,0.3,0,0.38,0.078,0.032,0.004,4.2,3184,20224304,8015,4553163,5460562,0.008
4400,2802730,LOWNDES COUNTY,LOWNDES COU,5261,4745,31731935,6031,32506676,6178,64238611,12210,11894740,2260,30475840,5792,62982517,11971,-1256094,-238,525752502,99933,0.23,0.18,0.01,0.3,0.102,0.06,0.006,12,6574,41747726,7935,14721070,11271886,0
4500,2802790,MADISON COUNTY,MADISON COU,13162,11971,77528597,5890,81414049,6185,158942647,12075,18540132,1408,73753474,5603,155167524,11789,-3775123,-286,1538036801,116854,0.13,0.1,0.05,0.37,0.062,0.06,0.006,25,15910,101032156,7676,43065030,27278682,0
4600,2802820,MARION COUNTY,MARION COUN,1904,1738,13228981,6947,5635882,2960,18864864,9908,9011834,4733,12823963,6735,18459846,9695,-405018,-212,101296435,53201,0.32,0.27,0,0.4,0.126,0.05,0.003,4,2466,15660263,8224,2836300,4228271,0.01
4700,2802850,MARSHALL COUNTY,MARSHALL CO,2777,2448,16686253,6008,10457297,3765,27143551,9774,9336823,3362,16191889,5830,26649187,9596,-494364,-178,344542223,124069,0.29,0.28,0.08,0.36,0.073,0.046,0.009,5.3,3493,22180670,7987,9647182,5988781,0
5720,2802880,MCCOMB,MCCOMB,2140,1910,13158987,6149,8534905,3988,21693892,10137,9335373,4362,14055578,6568,22590483,10556,896590,418,141899713,66308,0.51,0.37,0.02,0.33,0.067,0.057,0.002,48.5,2839,18028770,8424,3973191,4867767,0
3820,2802910,MERIDIAN,MERIDIAN,4614,3809,26583817,5761,22438180,4863,49021998,10624,17171470,3721,30294097,6565,52732278,11428,3710279,804,367691584,79690,0.6,0.36,0.02,0.25,0.046,0.082,0.01,85.9,6392,40589461,8797,10295364,10959154,0
2525,.,MIDTOWN PUBLIC CHARTER,MIDTOWN PUB,360,360,2277965,6327,1066233,2961,3344199,9289,775995,2155,2404546,6679,3470780,9641,126581,351,19184624,53290,0.58,0.4,0,0.01,0.028,0.056,0,NaN,463,2941716,8171,537169,794263,0
4800,2802940,MONROE COUNTY,MONROE COUN,2119,1938,14074592,6642,5580181,2633,19654774,9275,4217787,1990,13097573,6181,18677755,8814,-977019,-461,132970709,62751,0.15,0.15,0,0.4,0.124,0.062,0.007,5.4,2648,16820753,7938,3723179,4541603,0
3020,2803000,MOSS POINT,MOSS POINT,1569,1361,11832362,7541,9817268,6257,21649631,13798,10835532,6906,9997427,6371,19814696,12628,-1834934,-1169,170728849,108813,0.53,0.3,0.04,0.41,0.082,0.071,0.003,15.1,2156,13695106,8728,4780407,3697678,0
617,2800186,N. BOLIVAR CONS,N. BOLIVAR,780,714,6524295,8364,2269876,2910,8794172,11274,5382890,6901,5890602,7552,8160478,10462,-633693,-812,36309085,46550,0.6,0.61,0.01,0.44,0.092,0.046,0.006,3.8,1087,6907257,8855,1016654,1864959,0.012
7011,2803270,N. TIPPAH,N. TIPPAH,1286,1122,8701996,6766,3285728,2554,11987724,9321,4015698,3122,9023258,7016,12308986,9571,321262,249,47595603,37010,0.18,0.26,0,0.3,0.187,0.051,0.004,6.6,1630,10355935,8052,1332676,2796102,0
130,2803030,NATCHEZ-ADAMS,NATCHEZ-ADA,2842,2479,17785932,6258,14761348,5194,32547281,11452,11681465,4110,17755676,6247,32517025,11441,-30255,-10,320557180,112792,0.47,0.36,0,0.31,0.112,0.066,0.005,6.1,3830,24322844,8558,8975601,6567168,0
